time,frequency,confidence
7.350,329.385,0.973519
7.360,329.445,0.973064
7.370,328.862,0.944599
7.380,328.768,0.938891
7.390,329.233,0.962704
7.400,329.320,0.968635
7.410,329.147,0.964775
7.420,328.341,0.948217
7.430,328.276,0.956163
7.440,328.774,0.950309
7.450,329.283,0.970120
7.460,329.414,0.973751
7.470,328.617,0.949274
7.480,328.459,0.952526
7.490,328.707,0.948302
7.500,329.126,0.966672
7.510,329.468,0.974284
7.520,329.048,0.962231
7.530,328.607,0.948097
7.540,328.619,0.948653
7.550,329.117,0.964692
7.560,329.315,0.969967
7.570,329.356,0.970247
7.580,329.028,0.956899
7.590,328.938,0.953656
7.600,328.985,0.959216
7.610,329.217,0.967208
7.620,329.350,0.968108
7.630,328.819,0.947156
7.640,328.569,0.946656
7.650,328.829,0.953091
7.660,328.964,0.959651
7.670,328.728,0.949321
7.680,328.362,0.956404
7.690,328.626,0.948663
7.700,328.828,0.952258
7.710,328.977,0.961100
7.720,328.995,0.959441
7.730,328.929,0.954742
7.740,328.617,0.947460
7.750,328.568,0.947314
7.760,329.025,0.955641
7.770,329.162,0.961462
7.780,328.956,0.953293
7.790,328.742,0.943559
7.800,328.692,0.946508
7.810,328.682,0.944259
7.820,328.769,0.944346
7.830,328.779,0.944687
7.840,328.576,0.945694
7.850,328.689,0.946675
7.860,328.764,0.950271
7.870,328.595,0.948453
7.880,328.603,0.946131
7.890,328.653,0.944330
7.900,328.713,0.943014
7.910,328.729,0.945757
7.920,328.995,0.958985
7.930,328.942,0.951793
7.940,328.669,0.931641
7.950,328.302,0.926214
7.960,328.393,0.915774
7.970,328.420,0.905859
7.980,327.102,0.884906
7.990,326.035,0.731906
8.000,326.054,0.778064
8.010,327.388,0.854552
8.020,328.765,0.885979
8.030,328.415,0.914642
8.040,327.674,0.952013
8.050,327.571,0.961744
8.060,328.282,0.951197
8.070,328.767,0.949566
8.080,328.791,0.955572
8.090,328.753,0.956980
8.100,328.705,0.952723
8.110,328.712,0.956175
8.120,328.918,0.959502
8.130,328.948,0.956831
8.140,328.982,0.957759
8.150,328.710,0.949354
8.160,328.486,0.952942
8.170,328.336,0.953152
8.180,328.509,0.950552
8.190,328.708,0.948714
8.200,328.864,0.952484
8.210,328.877,0.948693
8.220,328.622,0.935138
8.230,329.035,0.934069
8.240,328.933,0.919131
8.250,329.165,0.876589
8.260,330.045,0.593741
8.270,443.202,0.705640
8.280,441.370,0.896948
8.290,440.324,0.918246
8.300,439.775,0.930210
8.310,439.720,0.934162
8.320,439.055,0.928066
8.330,439.302,0.940977
8.340,439.355,0.949581
8.350,439.637,0.958493
8.360,439.973,0.964840
8.370,440.077,0.964132
8.380,440.271,0.968232
8.390,440.812,0.975333
8.400,440.556,0.974688
8.410,440.355,0.974002
8.420,440.347,0.973466
8.430,440.401,0.974873
8.440,440.420,0.974467
8.450,440.009,0.967769
8.460,439.926,0.965972
8.470,440.147,0.964226
8.480,440.261,0.966899
8.490,440.132,0.964543
8.500,440.077,0.961380
8.510,440.217,0.964443
8.520,440.268,0.964534
8.530,440.156,0.962881
8.540,440.447,0.970236
8.550,440.313,0.970017
8.560,440.234,0.970164
8.570,440.424,0.972078
8.580,440.500,0.972207
8.590,440.678,0.975279
8.600,440.618,0.974735
8.610,440.306,0.974324
8.620,440.131,0.969890
8.630,439.833,0.965012
8.640,439.933,0.964073
8.650,440.139,0.964309
8.660,440.219,0.966480
8.670,440.438,0.968815
8.680,440.432,0.969250
8.690,440.292,0.965131
8.700,440.241,0.956054
8.710,440.126,0.942070
8.720,440.394,0.911547
8.730,440.512,0.909499
8.740,440.037,0.865938
8.750,441.663,0.929472
8.760,443.317,0.907710
8.770,442.941,0.915338
8.780,441.471,0.947251
8.790,440.394,0.959289
8.800,439.947,0.960764
8.810,439.706,0.959446
8.820,439.289,0.953832
8.830,439.304,0.960202
8.840,439.581,0.968815
8.850,439.884,0.973580
8.860,440.026,0.975248
8.870,440.182,0.975232
8.880,440.255,0.977271
8.890,440.744,0.980071
8.900,440.685,0.978696
8.910,440.582,0.978998
8.920,440.713,0.978889
8.930,440.595,0.978620
8.940,440.613,0.979643
8.950,440.300,0.976035
8.960,440.147,0.974773
8.970,440.296,0.974221
8.980,440.352,0.978121
